claim_id,worker_id,objective_fingerprint,scope_fingerprint,base_revision,status,started_at,lease_until,branch,pull_request,result_id,overlap_reason,updated_at
CLM-GPT56-20260725-001,gpt-5.6-pro,6895325c10db88223240b3214209a86ccbc0ae49a0e94b89422a77a67c8f9bbf,dc8aa20b94ca56af389f25a0bb46070b43ba928f18ba9eeb3b4c3bab875ed134,3,RUNNING,2026-07-25T15:13:56+09:00,2026-07-25T21:13:56+09:00,agent/causal-alpha-wave1-20260725,https://github.com/umtong/SMC_ICT_2_LIVE/pull/15,,"none; no active claims, results, validation attestations, or open PRs at claim time",2026-07-25T15:51:25+09:00
CLM-20260725-1506-CROSS-ASSET-LEADLAG-001,gpt-5.6-pro-20260725-1506,6def1205fc0be4646aa958e43d827a5bb77a26eb05fc6f9a4b2fc07417ff0102,f957459ae4707d9989fe66549656fb82b0284a8a7faae7441468bd2b920cd698,3,REPORTED,2026-07-25T15:06:15+09:00,2026-07-25T19:06:15+09:00,research/cross-asset-leadlag-baseline-20260725,https://github.com/umtong/SMC_ICT_2_LIVE/pull/11,RES-20260725-CROSS-ASSET-LEADLAG-001,Completed without overlap. Strategy result INVALID; validation attestation PASS. No Champion change. Official data artifact and Run Report linked in Drive. Completed-bar 5m family exhausted; change information source/granularity before reuse.,2026-07-25T15:52:00+09:00
CLM-20260725-1510-L1-EXEC-001,gpt-5.6-pro-20260725-1510,3bb7528bf5204290212063a86ad13f819c475fb01aa270b214157a341f1a07bf,e7aa7cd4d08a064bafc182744c7018943ae57fd52f8bc0737124b971fa589402,3,REPORTED,2026-07-25T15:10:30+09:00,2026-07-25T23:10:30+09:00,agent/l1-execution-toxicity-r3,https://github.com/umtong/SMC_ICT_2_LIVE/pull/14,RES-20260725-1510-L1-EXEC-001,"Non-overlap: absorption-flow alpha and general Binance causal baseline were active; this claim was limited to L1 maker toxicity, taker Slippage-at-Risk and dynamic maker/taker execution routing.",2026-07-25T15:50:52+09:00
WC-R3-YT20-ALPHA-001,gpt-5.6-pro:goal-worker-20260725-1502,f57783051257f0701b0eb517fdc1706368dc5559300557b31e6bae0ecc05e5bc,4631f1be7f2144b3839ddc422245eee39e3e15c6cd77ad84cd605ede0951f8f5,3,REPORTED,2026-07-25T15:02:03+09:00,2026-07-25T23:02:03+09:00,agent/r3-transcript-alpha-001,https://github.com/umtong/SMC_ICT_2_LIVE/pull/16,RES-R3-YT20-ALPHA-001,"Narrow official four-asset one-minute ordinary-vs-sweep-vs-double-engulf first-mitigation ablation with account NAV, top-trade removal, cost stress and prefix invariance; does not overwrite PR #10.",2026-07-25T15:55:17+09:00
CLAIM-20260725-1501-ALPHA-HYP,gpt-5.6-pro,e2aadfa8bf5e750ab69867ae5d6e86935b50f9670e75a13c62ad716b9b4f4065,00d13eef30756ebd3a3e127060c861244e801f61b7b8c4f367ca966eff9539dd,3,RUNNING,2026-07-25T15:01:16+09:00,2026-07-25T19:00:00+09:00,agent/alpha-hypothesis-screen-20260725,https://github.com/umtong/SMC_ICT_2_LIVE/pull/10,,Claim began before concurrent claims became visible. Scope is transcript-grounded liquidity-state hypotheses plus a checksum-verified 5m rejection screen; no Champion claim.,2026-07-25T15:51:12+09:00
claim-20260725-001-btc-oi-crossasset,worker-20260725-1507-oi,18be971a3b55e75173d6bbc81fc14c491a43443968b50aa1aa109284ac8aee82,94e1d87f80ebd9b6443ebeb58564356e7959d148793e75ed4364f913db7e5d56,3,REPORTED,2026-07-25T15:07:37+09:00,2026-07-25T23:07:37+09:00,agent/btc-oi-crossasset-20260725,https://github.com/umtong/SMC_ICT_2_LIVE/pull/13,result-20260725-001-btc-oi-crossasset-invalid,Distinct scope: BTC open-interest state plus BTC/ETH flow and delayed CISD confirmation only.,2026-07-25T15:56:30+09:00
CLM-20260725-1559-SPOT-PERP-LEADERSHIP-001,gpt-5.6-pro-20260725-1559,93f0a481151f4bdb1f53a0ca7896febecf929dc4cd55b731490d110ba3d68a21,3ff3444c29b2042cfdaf42114374cfc2d4af5d76e9a120593e6c6ad641a29484,3,RUNNING,2026-07-25T15:59:28+09:00,2026-07-25T21:59:28+09:00,research/spot-perp-leadership-20260725,,,"Introduces official Binance spot plus USD-M data and tests spot/perpetual price-discovery, flow leadership, gap convergence/continuation and leadership inversion.",2026-07-25T15:59:28+09:00
claim-20260725-002-funding-settlement,worker-20260725-1600-funding,798a816d81606f02418b2ea52e1718dbabdec939d3806d36f82bdbee4dc7bd9d,a8c7f3eb18be799c181390acfd882935015ea9cf0a6b676bfe26282f17ef4a5c,3,RUNNING,2026-07-25T16:00:16+09:00,2026-07-25T22:00:16+09:00,agent/funding-settlement-20260725,,,"Distinct exact funding-settlement cashflow, premium-index state, post-settlement unwind/continuation and BTC-ETH asymmetry scope.",2026-07-25T16:00:16+09:00
CLM-20260725-1629-EFFICIENCY-001,gpt-5.6-pro-20260725-1629,c27de5606a67e734957f14bb55856f77edab8616bfe07d628842e9d7d53a4027,a029ff83237bb228e552409c272ed366772097cccd2b706b0b7d2b020cb677f6,3,RUNNING,2026-07-25T16:29:00+09:00,2026-07-26T00:29:00+09:00,agent/conditional-efficiency-gates,,,"Limited to condition-gated runtime procedures, staged validation, targeted registry lookup, and reducing reporting/PR overhead.",2026-07-25T16:29:00+09:00
CLAIM-20260725-FOLDER-ACTION-CONTRACT,folder-action-contract-audit,71852f62c13a81388b6ae6aefc8ede95f2b11d27842f9aef7c4b4d8ed9245b1a,3133795218d65c2c8f298ae3052a02d07790c8b44f35fa5f027329c8952ae9dd,3,REPORTED,2026-07-25T15:39:41+09:00,2026-07-25T23:39:41+09:00,agent/folder-action-contract-audit,,RESULT-20260725-FOLDER-ACTION-CONTRACT,Repository and Drive folder/action lifecycle audit; no overlap with strategy claims.,2026-07-25T16:24:50+09:00
